Boss,Value
zakum-easy,177241
zakum-normal,542799
papulatus-easy,606606
magnus-easy,639838
hilla-normal,708964
horntail-easy,781632
vonbon-normal,857845
pierre-normal,857845
bloodyqueen-normal,857845
vellum-normal,857845
horntail-normal,897281
vonleon-easy,937603
arkarium-easy,1020906
kawoong-normal,1107755
horntail-chaos,1198147
pinkbean-normal,1244672
vonleon-normal,1292085
vonleon-hard,2171198
arkarium-normal,2233676
magnus-normal,2297040
papulatus-normal,2361289
cygnus-easy,8086881
hilla-hard,10034651
pinkbean-chaos,11430493
cygnus-normal,12942000
zakum-chaos,14367507
vonbon-chaos,14392859
pierre-chaos,14402092
bloodyqueen-chaos,14391703
magnus-hard,16909213
vellum-chaos,18621348
papulatus-chaos,26607589
seuu-normal,33246858
damien-normal,34629940
guardianangelslime-normal,38831584
lucid-easy,39725947
lucid-normal,46382292
will-normal,53220402
dusk-normal,56847443
dunkel-normal,60713682
damien-hard,84140907
seuu-hard,88629294
lucid-hard,96223692
will-hard,106176587
guardianangelslime-chaos,109740159
dusk-chaos,112337470
dunkel-hard,117749908
jinhilla-hard,134000973
seren-hard,184611320
blackmage-hard,1000000000
